feature_set,imbalance_strategy,model,mean_prauc,std_prauc
selected,class_weight,xgboost,0.8501946388664298,0.01140266065356986
full,random_over,xgboost,0.8471968316559327,0.014838124013685318
full,smote,xgboost,0.8460931160917222,0.023361623078809707
selected,random_over,xgboost,0.8447454138520963,0.015463466091227635
full,class_weight,xgboost,0.8429710477818801,0.018870159221607685
selected,smote,xgboost,0.8413599402116648,0.024297522869778432
full,smote,random_forest,0.8380259244582096,0.01853646107809697
full,class_weight,random_forest,0.8367290989881323,0.01677196019753395
selected,class_weight,random_forest,0.8363926082313694,0.013237076247281517
full,random_over,random_forest,0.8361490815974927,0.014532076822067851
selected,random_over,random_forest,0.8351220958794358,0.010423956771137265
selected,smote,random_forest,0.8314721514698538,0.020436988508592633
selected,random_over,logistic_regression,0.7525733248568982,0.026811857572078327
selected,class_weight,logistic_regression,0.7525255385333182,0.026912261970130347
full,class_weight,logistic_regression,0.7514297404096784,0.026082347778049932
full,random_over,logistic_regression,0.7512597182506618,0.026360402791162828
selected,smote,logistic_regression,0.7491591714911287,0.026450817725300266
full,smote,logistic_regression,0.7484587065955403,0.024030568590810725
selected,random_under,random_forest,0.7447776225637295,0.009766069891206097
full,random_under,random_forest,0.7426645997683994,0.0035072850565205263
full,random_under,xgboost,0.7414601901754055,0.0236805109858784
selected,random_under,xgboost,0.7172306291092022,0.043355653467441184
full,random_under,logistic_regression,0.5814734943176522,0.05683433705437885
selected,random_under,logistic_regression,0.5734092055337512,0.08558508783166785
